/sounds|man1|Golf Ball with 3/4 Roll on 45 Degree Up Line, Snap Roll at Top of 3/4 Loop, 3/4 Roll on 45 Down Line
/sounds|man2|Half Reverse Cuban 8 with Consecutive Three 1/4 Rolls with the last 1/4 Roll in Opposite Direction on the 45 Degree Up Line and 3/4 Roll after the 5/8 Loop, Exit inverted
/sounds|man3|Horizontal Circle with Two Integrated 1/2 Rolls in Opposite Directions, first 1/2 Roll to the Inside, Exit inverted
/sounds|man4|Top Hat with Consecutive Three 1/4 Rolls in Up Line, 3/4 Snap Roll in Down Line
/sounds|man5|Pull-Push-Push Humpty Bump with 1/4 Roll Integrated into first 1/4 Pull Loop, Full Roll in Up Line, Consecutive Two 1/2 Rolls Opposite in Down Line, 1/4 Roll Integrated into last 1/4 Loop, Exit Inverted
/sounds|man6|Three Quarter Vertical 8 with 1/2 Roll Integrated into Last 45 Degrees of Half Loop and First 45 Degrees of Loop, Exit Inverted
/sounds|man7|Stall Turn with Consective 1/4 Roll and 1/2 Roll Opposite in Up Line and 3/4 Roll in Down Line
/sounds|man8|Figure 9 with 1 1/2 Snap Roll in Down Line
/sounds|man9|Top Hat with 3/4 Roll in Up Line, Full Roll Across Top, 1/4 Roll in Down Line
/sounds|man10|Half Square Loop with 1/2 Roll on Entry Prior to Push, Consecutive 1/2 Roll and Full Roll Opposite in Up Line, exit inverted
/sounds|man11|45 Degree Down Line with 1/4 Roll, Consecutive Two Snap Rolls Opposite, 1/4 Roll, Exit Inverted
/sounds|man12|Half 8 Sided Loop with 1/2 Roll on First 45 Degree Up Line and 1/2 Roll on Second 45 Degree Up Line
/sounds|man13|Loop with Two Consecutive Integrated Rolls in Opposite Directions
/sounds|man14|Spin with 2 1/2 Turns
/sounds|man15|Roll Combination with Consecutive 1/2 Roll, Four 1/4 Rolls in Opposite Direction, 1/2 Roll in Opposite Direction
/sounds|man16|Fighter Turn with 3/4 Roll on 45 Degree Up Line and 3/4 Snap Roll on 45 Degree Down Line
/sounds|man17|Horizontal Square Circle with 1/4 Roll on Entry, at Center, 1/2 Roll on 2nd, 3rd and 4th Lines, 1/4 Roll on Exit, at Center
/sounds|man18|Vertical 8 - from Inverted with 1/2 Roll on entry ending at center, Push Loop, Pull Loop, 1/2 Roll on Exit starting at center, Exit Inverted
/sounds|man19|Stall Turn with Two Consecutive 1/4 Rolls Down
/sounds|man20|Square Loop on Corner with 1/2 Rolls on 2nd and 4th 45 Degree Lines
/sounds|man21|Figure 9 with Two Consecutive 1/2 Rolls Opposite in the Up Line, Exit Inverted
/sounds|man22|Knife-Edge Flight with Consecutive 1/4 Roll and 1/2 Roll Opposite, Consecutive 1/2 Roll, 1/4 Roll Opposite
/sounds|man23|Inverted Split S with Consecutive Two 1/2 Rolls, Exit Inverted
/sounds|man24|Golf Ball with 1/2 Roll Integrated in Top 180 Degrees
/sounds|man25|Shark Fin with Consective Two 1/4 Rolls on 45 Degree Down Line
/sounds|man26|Double Immelman with 1/2 Roll Entry, Push 1/2 Loop, Consecutive Four 1/8 Rolls, Pull 1/2 Loop, 1/2 Roll Exit, Exit Inverted
/sounds|man27|Push-Push-Push Humpty Bump with 1/2 Roll on Up Line, Exit Inverted
/sounds|man28|Roll Combination with Consecutive 1/2 Roll, Full Roll, 1/2 Roll in Opposite Directions, Exit Inverted
